Density,Segment_Size,Dim,Dropout,Emb_Dropout,Layer_Dropout,Total_Test_Accuracy,Total_Test_Variance,Subject_1_Accuracy,Subject_2_Accuracy,Subject_3_Accuracy,Subject_4_Accuracy,Subject_5_Accuracy,Subject_6_Accuracy,Subject_7_Accuracy,Subject_8_Accuracy,Subject_9_Accuracy,Subject_1_Variance,Subject_2_Variance,Subject_3_Variance,Subject_4_Variance,Subject_5_Variance,Subject_6_Variance,Subject_7_Variance,Subject_8_Variance,Subject_9_Variance
20,5,256,0.1,0.2,0.2,0.5820615887641907,0.24326589714502814,0.5324561595916748,0.5420408248901367,0.5343478322029114,0.6583061814308167,0.6846153736114502,0.5581673383712769,0.5517241358757019,0.6221739053726196,0.5187755227088928,0.24894659895352414,0.2482325697625989,0.24882022684310018,0.22493915054801641,0.2159171597633136,0.24661656164187873,0.24732461355529134,0.2350735349716446,0.24964748021657643
10,5,128,0.1,0.1,0.2,0.5819277763366699,0.24328785019596458,0.5236842036247253,0.5530612468719482,0.54347825050354,0.6416937708854675,0.6941391825675964,0.5478087663650513,0.545258641242981,0.6299999952316284,0.5257142782211304,0.24943905817174514,0.24718450645564347,0.24810964083175804,0.22992286390306527,0.21230997329898427,0.24771432199488902,0.24795165725326995,0.23310000000000006,0.2493387755102041
20,5,128,0.2,0.1,0.1,0.5816599726676941,0.24333164877269006,0.5394737124443054,0.549795925617218,0.5330435037612915,0.6794788241386414,0.6648351550102234,0.56175297498703,0.5267241597175598,0.6299999952316284,0.5102040767669678,0.2484418282548476,0.2475203665139525,0.24890812854442343,0.21778735052891812,0.22282936843376405,0.2461865684671672,0.249285820451843,0.2331,0.24989587671803412
10,2,128,0.2,0.2,0.1,0.5815707445144653,0.2433462164389623,0.5223684310913086,0.545714259147644,0.5200000405311584,0.6674267053604126,0.6600732803344727,0.5470119714736938,0.5706896781921387,0.6460869908332825,0.5204081535339355,0.2494996537396122,0.24791020408163264,0.24959999999999996,0.22196829674585403,0.22437655140951843,0.24778987635116906,0.24500297265160517,0.2286586011342155,0.24958350687213662
20,5,256,0.2,0.1,0.1,0.5809906721115112,0.24344051798447694,0.5342105627059937,0.5559183955192566,0.5230435132980347,0.6449511051177979,0.6989011168479919,0.5565736889839172,0.5543103218078613,0.6269565224647522,0.4995918273925781,0.24882963988919676,0.24687313619325282,0.2494689981096408,0.22898916699381425,0.2104383528559353,0.24679941588228757,0.24705038644470872,0.23388204158790166,0.2499998334027489
20,2,256,0.2,0.1,0.2,0.5807229280471802,0.24348381477718103,0.519298255443573,0.5436734557151794,0.5365217328071594,0.6456025838851929,0.6736263632774353,0.5410358905792236,0.5625,0.6556521654129028,0.5191836953163147,0.2496275777162204,0.2480926280716368,0.24866616257088847,0.22879988116584793,0.21985388238135486,0.24831605847526222,0.24609375,0.22577240075614366,0.24963198667221995
10,5,256,0.2,0.1,0.1,0.5805444717407227,0.243512599657393,0.5263158082962036,0.5440816283226013,0.5343478322029114,0.6416937708854675,0.6703296899795532,0.5466135740280151,0.5538793206214905,0.6704347729682922,0.5097959041595459,0.24930747922437674,0.24805680966264057,0.24882022684310018,0.2299228639030653,0.22098780340538582,0.24782717734639131,0.24709701991676578,0.22095198487712667,0.2499040399833403
20,5,256,0.1,0.1,0.1,0.5801427960395813,0.2435771326667172,0.5285087823867798,0.5448979735374451,0.5213043689727783,0.6465798020362854,0.7106227278709412,0.5334661602973938,0.5590516924858093,0.613043487071991,0.526938796043396,0.24918724992305324,0.2479841732611412,0.24954612476370516,0.22851436089507582,0.2056380737699419,0.24888001777749558,0.24651289387633768,0.23722117202268433,0.24927430237401088
10,5,256,0.2,0.2,0.2,0.5799643397331238,0.24360571046146007,0.5263158082962036,0.5502040982246399,0.5313043594360352,0.6429967284202576,0.7128205299377441,0.5430278778076172,0.5564655065536499,0.6073912978172302,0.5126530528068542,0.24930747922437674,0.2474795501874219,0.2490200378071834,0.22955193158548104,0.20470742932281394,0.24814860081586004,0.2468116453626635,0.23846710775047258,0.24983990004164933
20,5,128,0.1,0.1,0.1,0.5794734358787537,0.24368397084794124,0.5333333611488342,0.5404081344604492,0.5078260898590088,0.6596091389656067,0.7032967209815979,0.5446215271949768,0.5663793087005615,0.623913049697876,0.4967346787452698,0.2488888888888889,0.24836718034152436,0.24993875236294896,0.22452492864645782,0.2086704504286922,0.24800892049332549,0.24559378715814506,0.23464555765595457,0.24998933777592677
