Density,Segment_Size,Dim,Dropout,Emb_Dropout,Layer_Dropout,Total_Test_Accuracy,Total_Test_Variance,Subject_1_Accuracy,Subject_2_Accuracy,Subject_3_Accuracy,Subject_4_Accuracy,Subject_5_Accuracy,Subject_6_Accuracy,Subject_7_Accuracy,Subject_8_Accuracy,Subject_9_Accuracy,Subject_1_Variance,Subject_2_Variance,Subject_3_Variance,Subject_4_Variance,Subject_5_Variance,Subject_6_Variance,Subject_7_Variance,Subject_8_Variance,Subject_9_Variance
10,2,128,0.1,0.2,0.2,0.681704580783844,0.21698343973344916,0.663596510887146,0.5036734938621521,0.5121739506721497,0.7602605819702148,0.6721611618995667,0.7350597977638245,0.6715517044067383,0.834782600402832,0.7591836452484131,0.22323618805786394,0.24998650562265734,0.2498517958412098,0.18226442720877672,0.2203605308000913,0.1947469087792257,0.22057000594530324,0.13792060491493385,0.18282382340691378
5,2,128,0.1,0.1,0.1,0.6810352206230164,0.21722623748999667,0.6293859481811523,0.5069387555122375,0.5030434727668762,0.7355048656463623,0.6937729120254517,0.7669323086738586,0.6577585935592651,0.8373913168907166,0.7751020193099976,0.23325927208371805,0.24995185339441897,0.2499907372400756,0.19453744867319547,0.21245206563887878,0.1787471627434485,0.2251122175980975,0.1361671077504726,0.17431886713869219
10,5,128,0.2,0.2,0.2,0.6809906363487244,0.21724239214779695,0.6469298601150513,0.5110204219818115,0.49826088547706604,0.7508143186569214,0.6604395508766174,0.765338659286499,0.6521551609039307,0.863043487071991,0.759591817855835,0.22841162665435516,0.249878550603915,0.24999697542533084,0.18709217073921205,0.22425914744596062,0.17959540324756748,0.22684880350772893,0.11819943289224952,0.18261207830070803
10,2,128,0.2,0.2,0.2,0.6803658604621887,0.21746813920364882,0.6337719559669495,0.509387731552124,0.5143478512763977,0.7390879392623901,0.6838827729225159,0.7589641809463501,0.6620689630508423,0.8417391777038574,0.7583673596382141,0.23210507079101264,0.24991187005414411,0.24979413988657845,0.19283695317722205,0.21618712179151742,0.1829375724194854,0.2237336504161712,0.13321436672967865,0.18324631403581843
20,2,128,0.1,0.2,0.2,0.68027663230896,0.21750032506445036,0.6206140518188477,0.5199999809265137,0.516086995601654,0.746905505657196,0.654212474822998,0.7290836572647095,0.6581896543502808,0.8813043832778931,0.7779591679573059,0.2354522545398584,0.2496,0.24974120982986767,0.1890376555719424,0.22621851896577172,0.19752067427501147,0.22497603299643282,0.10460699432892251,0.17273869221157848
10,2,128,0.2,0.1,0.1,0.6800982356071472,0.217564648997099,0.6359649300575256,0.5322449207305908,0.5,0.7390879392623901,0.6556776762008667,0.7581673264503479,0.6607758402824402,0.8669565320014954,0.7542856931686401,0.23151354262850113,0.24896026655560183,0.25,0.19283695317722205,0.2257644675227093,0.1833496293709624,0.224151122175981,0.11534291115311911,0.18533877551020408
5,2,128,0.2,0.1,0.2,0.6800090074539185,0.21759678706894614,0.6315789818763733,0.5146938562393188,0.508695662021637,0.7345276474952698,0.6593406796455383,0.771713137626648,0.6663793325424194,0.8473913073539734,0.7677550911903381,0.2326869806094183,0.2497840899625156,0.24992438563327038,0.19499676389139406,0.22461055428088395,0.17617196552435677,0.22231792508917955,0.12931928166351606,0.17830720533111208
5,5,128,0.2,0.2,0.1,0.6797858476638794,0.21767706255633867,0.6254386305809021,0.5163265466690063,0.5139130353927612,0.7465797662734985,0.6619047522544861,0.7410358786582947,0.6737068891525269,0.8504347801208496,0.7685714364051819,0.23426515851031088,0.2497334443981675,0.24980642722117202,0.18919839998302368,0.22378684807256236,0.1919017158457802,0.21982591409036858,0.12719546313799623,0.17786938775510203
5,2,128,0.1,0.2,0.1,0.6796073317527771,0.2177412112628211,0.63289475440979,0.5020408034324646,0.5213043689727783,0.7244299650192261,0.6739926934242249,0.7573705315589905,0.6788793206214905,0.852173924446106,0.7583673596382141,0.2323389889196676,0.24999583506872147,0.24954612476370516,0.19963118972084587,0.2197265493968791,0.1837604165013254,0.21800219233055884,0.12597353497164462,0.18324631403581843
20,2,128,0.1,0.1,0.1,0.6792950630187988,0.21785331817626993,0.6153509020805359,0.5053061246871948,0.5378261208534241,0.7563517689704895,0.6567765474319458,0.7362549901008606,0.6568965315818787,0.8700000047683716,0.7579591870307922,0.23669417513080943,0.24997184506455644,0.24856918714555767,0.18428375897887508,0.2254211112452871,0.1941835843875494,0.22538347205707485,0.11309999999999999,0.18345705955851727
